familia,parametro,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
gamma,6,10,10000,0.1038,0.0972,0.086,0.0263,NA,0.0921,0.1117,0.1003,0.075,0.1083,0.1059,0,0,0,0,10000,0,0,0,0,0,0,65.44624900817871
gamma,6,25,10000,0.2612,0.2186,0.1537,0.1597,0.2258,0.1969,0.2493,0.1253,0.1374,0.1648,0.2588,0,0,0,0,0,0,0,0,0,0,0,67.36961936950684
gamma,6,50,10000,0.5078,0.4145,0.2843,0.3649,0.4199,0.3648,0.4821,0.174,0.2082,0.2659,0.4955,0,0,0,0,0,0,0,0,0,0,0,65.06660580635071
gamma,6,100,10000,0.836,0.7231,0.521,0.702,0.7277,0.647,0.8027,0.314,0.2847,0.478,0.8173,0,0,0,0,0,0,0,0,0,0,0,63.63480091094971
gamma,6,250,10000,0.9984,0.9886,0.9088,0.9942,0.9949,0.9729,0.9973,0.7351,0.4995,0.8644,0.9972,0,0,0,0,0,0,0,0,0,0,0,70.4527440071106
gamma,6,500,10000,1,1,0.9974,1,1,0.9999,1,0.9788,0.7405,0.9909,1,0,0,0,0,0,0,0,0,0,0,0,85.22114849090576
gamma,8,10,10000,0.0916,0.0868,0.0778,0.0221,NA,0.0822,0.0994,0.09,0.0684,0.1097,0.0924,0,0,0,0,10000,0,0,0,0,0,0,68.15768909454346
gamma,8,25,10000,0.2053,0.1721,0.1252,0.1324,0.1923,0.1552,0.2037,0.1085,0.1104,0.1395,0.2058,0,0,0,0,0,0,0,0,0,0,0,70.73957800865173
gamma,8,50,10000,0.4033,0.3165,0.2207,0.2845,0.3429,0.2781,0.3814,0.1241,0.1646,0.209,0.395,0,0,0,0,0,0,0,0,0,0,0,66.8718421459198
gamma,8,100,10000,0.7128,0.5879,0.4126,0.5798,0.6108,0.5234,0.6821,0.2286,0.2334,0.3662,0.7044,0,0,0,0,0,0,0,0,0,0,0,64.83212971687317
gamma,8,250,10000,0.9865,0.9495,0.8039,0.9722,0.9728,0.9103,0.9813,0.5476,0.3954,0.7337,0.9846,0,0,0,0,0,0,0,0,0,0,0,71.73438382148743
gamma,8,500,10000,1,0.9994,0.9796,0.9999,0.9999,0.9981,1,0.895,0.5974,0.9601,1,0,0,0,0,0,0,0,0,0,0,0,87.27554702758789
gamma,10,10,10000,0.0821,0.0782,0.0707,0.0203,NA,0.0758,0.0874,0.0833,0.0612,0.1088,0.0799,0,0,0,0,10000,0,0,0,0,0,0,68.61147117614746
gamma,10,25,10000,0.1711,0.1477,0.1121,0.1065,0.1641,0.1351,0.1714,0.0985,0.0996,0.1296,0.1724,0,0,0,0,0,0,0,0,0,0,0,70.38213157653809
gamma,10,50,10000,0.3368,0.2668,0.1913,0.2405,0.2927,0.2355,0.321,0.1141,0.1478,0.1833,0.33,0,0,0,0,0,0,0,0,0,0,0,65.83718347549438
gamma,10,100,10000,0.6057,0.4844,0.3397,0.4879,0.5198,0.4268,0.5783,0.1726,0.1975,0.2976,0.608,0,0,0,0,0,0,0,0,0,0,0,62.94843983650208
gamma,10,250,10000,0.9571,0.8902,0.7022,0.9273,0.9325,0.8282,0.9468,0.4199,0.3136,0.6262,0.9593,0,0,0,0,0,0,0,0,0,0,0,69.02893376350403
gamma,10,500,10000,0.9996,0.9969,0.9481,0.9991,0.999,0.9906,0.9992,0.7778,0.493,0.9055,0.9996,0,0,0,0,0,0,0,0,0,0,0,84.31972169876099
gamma,12,10,10000,0.0734,0.0711,0.0664,0.0166,NA,0.0677,0.0808,0.0783,0.057,0.1102,0.0722,0,0,0,0,10000,0,0,0,0,0,0,66.93548011779785
gamma,12,25,10000,0.1516,0.1302,0.1039,0.0931,0.1487,0.1218,0.1506,0.0886,0.0917,0.126,0.1514,0,0,0,0,0,0,0,0,0,0,0,70.45837330818176
gamma,12,50,10000,0.2901,0.2293,0.1694,0.2133,0.2598,0.2047,0.2797,0.105,0.128,0.1596,0.2867,0,0,0,0,0,0,0,0,0,0,0,67.93444347381592
gamma,12,100,10000,0.5266,0.4046,0.2831,0.4124,0.4437,0.356,0.4948,0.1469,0.1759,0.2575,0.5248,0,0,0,0,0,0,0,0,0,0,0,64.22790622711182
gamma,12,250,10000,0.9155,0.8108,0.6096,0.8719,0.8792,0.7454,0.8982,0.3282,0.2786,0.5342,0.9186,0,0,0,0,0,0,0,0,0,0,0,70.77481985092163
gamma,12,500,10000,0.9985,0.9879,0.9045,0.9977,0.9977,0.9732,0.9974,0.6548,0.4187,0.8371,0.9986,0,0,0,0,0,0,0,0,0,0,0,87.4917106628418
